Tytul;Moja_ocena;Srednia_ocena;Premiera;Rok;Liczba_glosow;Gatunek;Produkcja;Dlugosc;Rezyser
Miss Agent;6;6.4;14 grudzieÒ 2000;2000;111 840;Komedia kryminalna;Australia;1 godz. 49 min.;Donald Petrie
KrÛl Artur: Legenda miecza;7;7.0;7 maj 2017;2017;101 982;Dramat;USA;2 godz. 6 min.;Guy Ritchie
Life;6;6.3;18 marzec 2017;2017;79 696;Thriller;USA;1 godz. 43 min.;Daniel Espinosa
No Escape;8;6.7;5 marzec 2015;2015;18 939;Thriller;USA;1 godz. 41 min.;John Erick Dowdle
Szybcy i wúciekli 8;7;6.9;4 kwiecieÒ 2017;2017;91 807;Akcja;Francja;2 godz. 16 min.;F. Gary Gray
KrÛliczek;4;5.3;22 sierpieÒ 2008;2008;33 905;Komedia;USA;1 godz. 37 min.;Fred Wolf
Zamiana cia≥;3;6.6;5 sierpieÒ 2011;2011;81 072;Komedia;USA;1 godz. 53 min.;David Dobkin
ObecnoúÊ;7;7.4;27 czerwiec 2013;2013;215 391;Horror;USA;1 godz. 52 min.;James Wan
Bez snu;7;5.8;12 styczeÒ 2017;2017;8 747;Thriller;USA;1 godz. 35 min.;Baran bo Odar
127 godzin;8;7.1;4 wrzesieÒ 2010;2010;124 555;Dramat;USA;1 godz. 34 min.;Danny Boyle
Szef;5;6.8;7 marzec 2014;2014;48 086;Komedia;USA;1 godz. 55 min.;Jon Favreau
Kumple od kufla;6;5.5;13 marzec 2013;2013;11 103;Dramat;USA;1 godz. 30 min.;Joe Swanberg
Wykapany ojciec;7;6.5;21 listopad 2013;2013;43 388;Dramat;USA;1 godz. 43 min.;Ken Scott
Mina;5;6.2;6 paüdziernik 2016;2016;5 097;Thriller;Hiszpania;1 godz. 46 min.;Fabio Guaglione
Klπtwa Jessabelle;8;5.5;29 sierpieÒ 2014;2014;30 492;Horror;USA;1 godz. 30 min.;Kevin Greutert
Jeøeli nadejdzie jutro;7;6.7;10 wrzesieÒ 2013;2013;11 439;Dramat;Wielka Brytania;1 godz. 41 min.;Kevin Macdonald
Z≥o we mnie;6;5.6;12 wrzesieÒ 2015;2015;16 469;Horror;Kanada;1 godz. 33 min.;Oz Perkins
Morgan;7;5.7;1 wrzesieÒ 2016;2016;20 506;Thriller;USA;1 godz. 32 min.;Luke Scott
Rekiny wojny;4;7.0;18 sierpieÒ 2016;2016;81 134;Komedia;USA;1 godz. 54 min.;Todd Phillips
Chata;7;6.8;1 marzec 2017;2017;36 594;Dramat;USA;2 godz. 12 min.;Stuart Hazeldine
CHiPs: Motopatrol;6;6.4;22 marzec 2017;2017;9 991;Komedia;USA;1 godz. 40 min.;Dax Shepard
John Wick 2;7;6.7;30 styczeÒ 2017;2017;95 034;Thriller;USA;2 godz. 2 min.;Chad Stahelski
John Wick;7;6.9;19 wrzesieÒ 2014;2014;154 322;Thriller;Chiny;1 godz. 41 min.;David Leitch
Jaga;8;7.5;9 grudzieÒ 2016;2016;36 922;Sci-Fi;Polska;13 min.;Tomasz BagiÒski
Nie oddychaj;6;6.5;12 marzec 2016;2016;67 369;Thriller;USA;1 godz. 28 min.;Fede ¡lvarez
Wielki Mur;7;5.8;6 grudzieÒ 2016;2016;47 185;Fantasy;Australia;1 godz. 43 min.;Yimou Zhang
Zanim odejdÍ;5;6.9;21 styczeÒ 2017;2017;48 256;Dramat;USA;1 godz. 39 min.;Ry Russo-Young
Kong: Wyspa Czaszki;5;6.4;28 luty 2017;2017;86 389;Fantasy;Australia;1 godz. 58 min.;Jordan Vogt-Roberts
Twierdza;5;7.5;7 czerwiec 1996;1996;118 326;Sensacyjny;USA;2 godz. 16 min.;Michael Bay
Pan øycia i úmierci;6;7.6;16 wrzesieÒ 2005;2005;305 694;Dramat;Francja;2 godz. 2 min.;Andrew Niccol
Ustawka;7;5.5;16 luty 2017;2017;9 937;Komedia;USA;1 godz. 31 min.;Richie Keen
Ostatni skok;8;3.0;17 czerwiec 2016;2016;255;Thriller;USA;1 godz. 24 min.;Mike Mendez
iBoy;6;5.8;27 styczeÒ 2017;2017;12 752;Thriller;Wielka Brytania;1 godz. 30 min.;Adam Randall
Resident Evil: Ostatni rozdzia≥;5;5.4;13 grudzieÒ 2016;2016;28 315;Horror;Australia;1 godz. 47 min.;Paul W.S. Anderson
Zaproszenie;6;5.9;13 marzec 2015;2015;22 585;Thriller;USA;1 godz. 30 min.;Karyn Kusama
Mexican;2;6.5;2 marzec 2001;2001;32 176;Komedia kryminalna;USA;2 godz. 3 min.;Gore Verbinski
Machina wojenna;8;5.7;26 maj 2017;2017;12 093;Dramat;USA;2 godz. 2 min.;David MichÙd
Gwiazdy w oczach;5;4.9;8 marzec 2014;2014;4 089;Horror;USA;1 godz. 38 min.;Kevin Kolsch
300;7;7.5;9 grudzieÒ 2006;2006;386 740;Dramat historyczny;USA;1 godz. 57 min.;Zack Snyder
Satanic;3;3.6;1 lipiec 2016;2016;3 174;Horror;USA;1 godz. 24 min.;Jeffrey G. Hunt
Dzikie ≥owy;8;7.5;22 styczeÒ 2016;2016;29 835;Dramat;Nowa Zelandia;1 godz. 41 min.;Taika Waititi
Dolina przemocy;5;5.6;12 marzec 2016;2016;3 400;Western;USA;1 godz. 44 min.;Ti West
Uciekaj!;7;7.0;23 styczeÒ 2017;2017;133 953;Horror;USA;1 godz. 43 min.;Jordan Peele
OblÍøenie Jadotville;7;7.0;10 lipiec 2016;2016;11 764;Dramat;Irlandia;1 godz. 48 min.;Richie Smyth
KonwÛj;5;6.2;9 styczeÒ 2017;2016;38 186;Thriller;Polska;1 godz. 32 min.;Maciej Øak
Jarhead 2: W polu ognia;3;5.8;8 sierpieÒ 2014;2014;4 957;Dramat;USA;1 godz. 43 min.;Don Michael Paul
Jarhead: Øo≥nierz piechoty morskiej;7;7.3;4 listopad 2005;2005;78 323;Dramat;Niemcy;2 godz. 3 min.;Sam Mendes
Bye Bye Man;4;5.1;6 styczeÒ 2017;2017;8 791;Horror;Chiny;1 godz. 36 min.;Stacy Title
Split;8;7.3;26 wrzesieÒ 2016;2016;160 827;Thriller;Japonia;1 godz. 56 min.;M. Night Shyamalan
Sand Castle;6;6.3;21 kwiecieÒ 2017;2017;9 591;Dramat;USA;1 godz. 53 min.;Fernando Coimbra
Najd≥uøszy marsz Billy'ego Lynna;6;5.7;14 paüdziernik 2016;2016;2 961;Dramat;Chiny;1 godz. 50 min.;Ang Lee
Dama w vanie;8;6.7;12 wrzesieÒ 2015;2015;15 436;Biograficzny;Wielka Brytania;1 godz. 44 min.;Nicholas Hytner
Fantastyczne zwierzÍta i jak je znaleüÊ;7;7.0;8 listopad 2016;2016;198 205;Familijny;USA;2 godz. 13 min.;David Yates
Sprzymierzeni;5;6.8;13 listopad 2016;2016;52 969;Melodramat;USA;2 godz. 4 min.;Robert Zemeckis
Niech bÍdzie teraz;6;7.5;19 wrzesieÒ 2012;2012;93 269;Dramat obyczajowy;Francja;1 godz. 43 min.;Ol Parker
Kamienne piÍúci;7;6.7;16 maj 2016;2016;10 644;Biograficzny;USA;1 godz. 45 min.;Jonathan Jakubowicz
Asy bez kasy;6;5.5;29 wrzesieÒ 2016;2016;18 519;Akcja;USA;1 godz. 34 min.;Jared Hess
Pragnienie zemsty;5;4.8;22 maj 2015;2015;1 955;Thriller;USA;1 godz. 35 min.;Fouad Mikati
Assassin's Creed;4;5.7;13 grudzieÒ 2016;2016;78 067;Przygodowy;Francja;1 godz. 55 min.;Justin Kurzel
Midnight Special;7;5.9;28 styczeÒ 2016;2016;10 474;Dramat;USA;1 godz. 51 min.;Jeff Nichols
Kod da Vinci;7;6.7;17 maj 2006;2006;565 926;Thriller;Francja;2 godz. 29 min.;Ron Howard
Odkrycie;8;6.1;20 styczeÒ 2017;2017;15 349;Romans;USA;1 godz. 50 min.;Charlie McDowell
The Social Network;8;7.0;24 wrzesieÒ 2010;2010;225 160;Biograficzny;USA;2 godz.;David Fincher
Noc oczyszczenia: Czas wyboru;5;6.0;29 czerwiec 2016;2016;31 490;Thriller;Francja;1 godz. 45 min.;James DeMonaco
Z≥y Miko≥aj 2;6;5.3;23 listopad 2016;2016;5 831;Komedia kryminalna;USA;1 godz. 32 min.;Mark Waters
ARQ;7;6.2;9 wrzesieÒ 2016;2016;13 297;Thriller;Kanada;1 godz. 28 min.;Tony Elliott
ZwierzÍta nocy;7;7.2;2 wrzesieÒ 2016;2016;116 898;Thriller;USA;1 godz. 55 min.;Tom Ford
DzieÒ patriotÛw;6;7.1;17 listopad 2016;2016;27 735;Thriller;Chiny;2 godz. 13 min.;Peter Berg
G≥usza;6;5.3;12 wrzesieÒ 2015;2015;5 001;Dramat;Kanada;1 godz. 41 min.;Patricia Rozema
Alicja po drugiej stronie lustra;5;6.9;10 maj 2016;2016;73 418;Familijny;USA;1 godz. 48 min.;James Bobin
£otr 1. Gwiezdne wojny - historie;8;7.4;10 grudzieÒ 2016;2016;155 353;Przygodowy;USA;2 godz. 13 min.;Gareth Edwards
Przebudzenie;8;7.0;30 listopad 2007;2007;101 917;Thriller;USA;1 godz. 24 min.;Joby Harold
Osaczona;6;5.5;9 listopad 2016;2016;8 407;Thriller;Francja;1 godz. 31 min.;Farren Blackburn
Pasaøerowie;5;6.7;14 grudzieÒ 2016;2016;159 883;Przygodowy;USA;1 godz. 56 min.;Morten Tyldum
Pitbull. Niebezpieczne kobiety;6;6.5;9 listopad 2016;2016;162 905;Dramat;Polska;2 godz. 15 min.;Patryk Vega
Avatar;8;7.4;10 grudzieÒ 2009;2009;764 947;Sci-Fi;USA;2 godz. 42 min.;James Cameron
Doktor Strange;8;7.3;13 paüdziernik 2016;2016;182 754;Fantasy;USA;1 godz. 55 min.;Scott Derrickson
Prze≥Ícz ocalonych;7;8.2;4 wrzesieÒ 2016;2016;215 503;Biograficzny;Australia;2 godz. 19 min.;Mel Gibson
Dredd;7;6.4;11 lipiec 2012;2012;51 116;Akcja;Indie;1 godz. 35 min.;Pete Travis
Ouija: Narodziny z≥a;8;5.5;20 paüdziernik 2016;2016;26 487;Horror;Japonia;1 godz. 39 min.;Mike Flanagan
Nowy poczπtek;6;7.3;1 wrzesieÒ 2016;2016;175 432;Thriller;USA;1 godz. 56 min.;Denis Villeneuve
Noc øywej Deb;7;4.2;29 sierpieÒ 2015;2015;969;Horror;USA;1 godz. 25 min.;Kyle Rankin
Dziewczyna z pociπgu;3;6.3;20 wrzesieÒ 2016;2016;123 279;Thriller;USA;1 godz. 52 min.;Tate Taylor
KsiÍgowy;8;7.2;6 paüdziernik 2016;2016;76 002;Dramat;USA;2 godz. 8 min.;Gavin O'Connor
Zawodowcy;7;6.4;10 wrzesieÒ 2008;2008;31 166;Krymina≥;USA;1 godz. 41 min.;Jon Avnet
Weekend brudnych sekretÛw;5;4.3;19 kwiecieÒ 2015;2015;473;Dramat;USA;1 godz. 33 min.;Neil LaBute
Sully;7;7.3;8 wrzesieÒ 2016;2016;83 836;Biograficzny;USA;1 godz. 36 min.;Clint Eastwood
Plan Maggie;6;5.7;12 wrzesieÒ 2015;2015;7 976;Komedia;USA;1 godz. 39 min.;Rebecca Miller
Osobliwy dom Pani Peregrine;7;7.0;25 wrzesieÒ 2016;2016;94 239;Fantasy;Belgia;2 godz. 7 min.;Tim Burton
Wielka Gilly;8;6.5;24 luty 2016;2015;2 216;Familijny;USA;1 godz. 39 min.;Stephen Herek
Øywio≥. Deepwater Horizon;6;7.1;13 wrzesieÒ 2016;2016;53 902;Katastroficzny;USA;1 godz. 47 min.;Peter Berg
Nerve;5;6.8;12 lipiec 2016;2016;107 069;Thriller;USA;1 godz. 36 min.;Henry Joost
Wojna;8;6.7;5 wrzesieÒ 2015;2015;5 059;Dramat;Dania;1 godz. 55 min.;Tobias Lindholm
Red 2;6;6.8;18 lipiec 2013;2013;66 443;Komedia;Francja;1 godz. 56 min.;Dean Parisot
Komenda: Zabij;6;5.6;13 maj 2016;2016;6 486;Horror;Wielka Brytania;1 godz. 39 min.;Steven Gomez
Pan Idealny;3;5.8;19 wrzesieÒ 2015;2015;17 007;Akcja;USA;1 godz. 30 min.;Paco Cabezas
Safe House;7;6.9;7 luty 2012;2012;56 663;Sensacyjny;RPA;1 godz. 55 min.;Daniel Espinosa
Inferno;7;6.2;12 paüdziernik 2016;2016;105 993;Thriller;Japonia;2 godz. 1 min.;Ron Howard
Atak tyrolskich zombie;7;3.8;4 kwiecieÒ 2016;2016;687;Horror;Austria;1 godz. 18 min.;Dominik Hartl
8 czÍúci prawdy;6;7.0;13 luty 2008;2008;48 269;Sensacyjny;USA;1 godz. 30 min.;Pete Travis
ØyÊ nie umieraÊ;6;6.1;28 sierpieÒ 2015;2015;19 372;Dramat;Polska;1 godz. 25 min.;Maciej Migas
Na szlaku;5;5.8;8 wrzesieÒ 2014;2014;7 258;Dramat;Kanada;1 godz. 32 min.;Adam MacDonald
Zak≥adnik z Wall Street;5;6.4;12 maj 2016;2016;43 769;Thriller;USA;1 godz. 38 min.;Jodie Foster
Rebeliant;6;6.8;11 maj 2016;2016;12 305;Biograficzny;USA;2 godz. 19 min.;Gary Ross
Earl i ja, i umierajπca dziewczyna;7;7.3;25 styczeÒ 2015;2015;31 222;Dramat;USA;1 godz. 45 min.;Alfonso Gomez-Rejon
Dziewczyna warta grzechu;8;6.0;29 sierpieÒ 2014;2014;21 751;Komedia;Niemcy;1 godz. 33 min.;Peter Bogdanovich
Katedra;3;7.8;24 marzec 2002;2002;168 118;Animacja;Polska;7 min.;Tomasz BagiÒski
DzieÒ úwira;8;7.8;7 czerwiec 2002;2002;601 169;Dramat;Polska;1 godz. 33 min.;Marek Koterski
Django;8;8.3;11 grudzieÒ 2012;2012;471 362;Western;USA;2 godz. 45 min.;Quentin Tarantino
DzieÒ Niepodleg≥oúci: Odrodzenie;8;5.2;20 czerwiec 2016;2016;52 108;Akcja;USA;2 godz.;Roland Emmerich
Dziedzictwo krwi;7;5.8;21 maj 2016;2016;11 954;Thriller;Francja;1 godz. 28 min.;Jean-FranÁois Richet
Jak zostaÊ kotem;6;6.1;3 sierpieÒ 2016;2016;30 191;Familijny;Chiny;1 godz. 30 min.;Barry Sonnenfeld
Szefowa;4;5.4;21 marzec 2016;2016;22 021;Komedia;USA;1 godz. 39 min.;Ben Falcone
Siedmiu wspania≥ych;5;6.9;8 wrzesieÒ 2016;2016;61 565;Western;USA;2 godz. 12 min.;Antoine Fuqua
Jason Bourne;5;6.5;3 lipiec 2016;2016;58 595;Sensacyjny;Chiny;2 godz. 3 min.;Paul Greengrass
Ghostbusters. Pogromcy duchÛw;6;4.9;9 lipiec 2016;2016;34 790;Komedia;USA;1 godz. 56 min.;Paul Feig
Totalny kataklizm;6;4.2;29 sierpieÒ 2008;2008;25 366;Komedia;USA;1 godz. 30 min.;Jason Friedberg
Zdrajca w naszym typie;5;5.9;1 maj 2016;2016;3 646;Thriller;Wielka Brytania;1 godz. 47 min.;Susanna White
Mr. Nobody;6;7.5;12 wrzesieÒ 2009;2009;142 928;Dramat;Belgia;2 godz. 21 min.;Jaco Van Dormael
Sausage Party;7;5.6;14 marzec 2016;2016;112 130;Komedia;USA;1 godz. 23 min.;Conrad Vernon
Ostatnia misja USS Indianapolis;6;5.5;24 sierpieÒ 2016;2016;4 195;Wojenny;USA;2 godz. 8 min.;Mario Van Peebles
Armia tetrykÛw;5;5.0;5 luty 2016;2016;1 607;Komedia;Wielka Brytania;1 godz. 40 min.;Oliver Parker
Summer Camp;7;4.4;30 sierpieÒ 2015;2015;5 444;Horror;Hiszpania;1 godz. 21 min.;Alberto Marini
W nieznane;8;4.7;3 czerwiec 2016;2016;3 731;Dramat;USA;1 godz. 30 min.;Mark Elijah Rosenberg
Wspomnienia p≥atnego zabÛjcy;7;5.9;11 listopad 2016;2016;5 745;Komedia;USA;1 godz. 38 min.;Jeff Wadlow
Wielkie wakacje Pee-Wee Hermana;3;4.4;17 marzec 2016;2016;626;Komedia;USA;1 godz. 30 min.;John Lee
Jestem zemstπ;5;5.1;14 kwiecieÒ 2016;2016;4 147;Thriller;USA;1 godz. 31 min.;Chuck Russell
Sekretne øycie zwierzakÛw domowych;6;6.5;18 czerwiec 2016;2016;96 850;Animacja;Japonia;1 godz. 30 min.;Chris Renaud
Wstrzπs;5;7.3;10 listopad 2015;2015;64 798;Dramat;Australia;2 godz. 3 min.;Peter Landesman
Wojna polsko-ruska;4;5.1;22 maj 2009;2009;193 277;Dramat;Polska;1 godz. 48 min.;Xawery Øu≥awski
Ob≥πkani;8;7.0;14 czerwiec 2014;2014;43 998;Thriller;USA;1 godz. 52 min.;Brad Anderson
Operacja Bazyliszek;6;7.3;9 listopad 2016;2016;33 567;Sci-Fi;Polska;17 min.;Tomasz BagiÒski
Twardowsky 2.0;8;7.8;16 wrzesieÒ 2016;2016;55 409;Sci-Fi;Polska;21 min.;Tomasz BagiÒski
Wykolejona;6;5.6;16 marzec 2015;2015;40 430;Komedia;Japonia;2 godz. 5 min.;Judd Apatow
£owca i KrÛlowa Lodu;6;6.4;29 marzec 2016;2016;66 176;Fantasy;USA;1 godz. 54 min.;Cedric Nicolas-Troyan
Odwaø siÍ zdobyÊ faceta;6;6.3;19 kwiecieÒ 2015;2015;10 649;Komedia rom.;Francja;1 godz. 28 min.;Ben Palmer
Ukojenie;8;6.8;3 wrzesieÒ 2015;2015;34 572;Thriller;USA;1 godz. 41 min.;Afonso Poyart
Randka na weselu;6;6.0;7 lipiec 2016;2016;40 306;Komedia;USA;1 godz. 38 min.;Jake Szymanski
Star Trek: W nieznane;7;6.6;20 lipiec 2016;2016;46 601;Akcja;USA;2 godz.;Justin Lin
Star Trek;7;6.9;6 kwiecieÒ 2009;2009;114 952;Akcja;Niemcy;2 godz. 6 min.;J.J. Abrams
Jem i Hologramy;5;5.9;22 paüdziernik 2015;2015;1 400;Fantasy;USA;1 godz. 58 min.;Jon M. Chu
Legion samobÛjcÛw;7;6.2;5 lipiec 2016;2016;217 170;Akcja;Kanada;2 godz. 3 min.;David Ayer
Iluzja 2;6;6.9;2 czerwiec 2016;2016;162 182;Krymina≥;Francja;2 godz. 9 min.;Jon M. Chu
Nic osobliwszego nad mi≥oúÊ;7;4.7;30 kwiecieÒ 2015;2015;933;Komedia rom.;Kanada;1 godz. 35 min.;Nick Wernham
Wojna úwiatÛw;7;6.3;13 czerwiec 2005;2005;259 717;Dramat;USA;1 godz. 56 min.;Steven Spielberg
New York Taxi;6;5.6;6 paüdziernik 2004;2004;16 562;Komedia;Francja;1 godz. 37 min.;Tim Story
PiÍÊdziesiπt twarzy Blacka;6;3.8;28 styczeÒ 2016;2016;22 972;Komedia;USA;1 godz. 32 min.;Michael Tiddes
Duma i uprzedzenie, i zombie;3;5.7;21 styczeÒ 2016;2016;16 772;Horror;USA;1 godz. 48 min.;Burr Steers
Agent i pÛ≥;6;6.3;10 czerwiec 2016;2016;46 127;Komedia kryminalna;USA;1 godz. 47 min.;Rawson Marshall Thurber
BÛg nie umar≥ 2;6;6.4;1 kwiecieÒ 2016;2016;12 032;Dramat;USA;2 godz. 1 min.;Harold Cronk
Wesele Jenny;6;5.5;10 lipiec 2015;2015;5 247;Komedia;USA;1 godz. 34 min.;Mary Agnes Donoghue
Zoolander No. 2;5;4.7;4 luty 2016;2016;14 337;Komedia;USA;1 godz. 42 min.;Ben Stiller
Warcraft: Poczπtek;8;6.8;24 maj 2016;2016;107 913;Fantasy;Chiny;2 godz. 3 min.;Duncan Jones
Sπsiedzi 2;3;5.7;26 kwiecieÒ 2016;2016;59 448;Komedia;USA;1 godz. 32 min.;Nicholas Stoller
Kapitan Ameryka: Wojna bohaterÛw;7;7.5;12 kwiecieÒ 2016;2016;168 498;Akcja;USA;2 godz. 26 min.;Anthony Russo
Whiskey Tango Foxtrot;7;6.5;4 marzec 2016;2016;12 239;Biograficzny;USA;1 godz. 52 min.;Glenn Ficarra
Na linii;7;4.4;13 sierpieÒ 2015;2015;1 620;Dramat;USA;1 godz. 28 min.;Amariah Olson
Czarownica: Bajka ludowa z Nowej Anglii;3;6.6;23 styczeÒ 2015;2015;54 394;Horror;Brazylia;1 godz. 30 min.;Robert Eggers
Trainspotting;6;7.8;23 luty 1996;1996;223 931;Dramat;Wielka Brytania;1 godz. 34 min.;Danny Boyle
Wizyta;5;6.1;30 sierpieÒ 2015;2015;50 108;Horror;USA;1 godz. 34 min.;M. Night Shyamalan
KomÛrka;8;4.4;10 czerwiec 2016;2016;8 407;Horror;USA;1 godz. 38 min.;Tod Williams
Nie wszystko z≥oto, co siÍ úwieci;7;6.4;7 luty 2008;2008;47 595;Komedia;USA;1 godz. 53 min.;Andy Tennant
Pitbull. Nowe porzπdki;3;7.2;21 styczeÒ 2016;2016;217 032;Dramat;Polska;2 godz. 13 min.;Patryk Vega
SÍdzia;6;7.6;4 wrzesieÒ 2014;2014;160 553;Dramat;USA;2 godz. 21 min.;David Dobkin
Zanim odejdπ wody;8;6.6;31 paüdziernik 2010;2010;150 014;Komedia;USA;1 godz. 40 min.;Todd Phillips
Keanu;7;5.5;13 marzec 2016;2016;4 477;Komedia;USA;1 godz. 38 min.;Peter Atencio
Tata kontra tata;8;6.2;9 grudzieÒ 2015;2015;37 740;Komedia;USA;1 godz. 36 min.;Sean Anders
MÛw mi Dave;7;5.7;9 lipiec 2008;2008;24 849;Komedia;USA;1 godz. 30 min.;Brian Robbins
Seria Niezgodna: Wierna;7;6.1;8 marzec 2016;2016;69 501;Akcja;USA;2 godz. 1 min.;Robert Schwentke
Kochajmy siÍ od úwiÍta;6;6.2;4 listopad 2015;2015;18 894;Komedia;USA;1 godz. 40 min.;Jessie Nelson
Who Am I. Moøesz byÊ kim chcesz;6;7.7;6 wrzesieÒ 2014;2014;52 007;Thriller;Niemcy;1 godz. 45 min.;Baran bo Odar
Londyn w ogniu;7;6.1;1 marzec 2016;2016;51 236;Thriller;USA;1 godz. 39 min.;Babak Najafi
Koszmarna opowieúÊ wigilijna;5;5.2;20 lipiec 2015;2015;3 445;Horror;Kanada;1 godz. 39 min.;Steven Hoban
Eddie zwany Or≥em;6;7.1;26 styczeÒ 2016;2016;25 681;Biograficzny;Niemcy;1 godz. 45 min.;Dexter Fletcher
Statek widmo;3;6.1;22 paüdziernik 2002;2002;43 414;Horror;Australia;1 godz. 31 min.;Steve Beck
Cloverfield Lane 10;6;6.5;8 marzec 2016;2016;93 103;Thriller;USA;1 godz. 45 min.;Dan Trachtenberg
Schmidt;7;7.1;22 maj 2002;2002;16 341;Dramat;USA;2 godz. 5 min.;Alexander Payne
Ten Thousand Saints;5;5.9;23 styczeÒ 2015;2015;794;Dramat;USA;1 godz. 53 min.;Shari Springer Berman
Bliski wrÛg;3;5.0;4 grudzieÒ 2013;2013;2 413;Akcja;USA;1 godz. 30 min.;Peter Hyams
Dr Dolittle 2;4;6.0;19 czerwiec 2001;2001;33 520;Familijny;USA;1 godz. 27 min.;Steve Carr
Harold i Kumar: Spalone úwiÍta;5;6.4;4 listopad 2011;2011;24 211;Komedia;USA;1 godz. 30 min.;Todd Strauss-Schulson
Bez smyczy;7;6.1;23 luty 2011;2011;41 447;Komedia;USA;1 godz. 45 min.;Bobby Farrelly
The Ridiculous 6;5;5.6;6 grudzieÒ 2015;2015;10 670;Komedia;USA;2 godz.;Frank Coraci
The Do-Over;4;5.9;27 maj 2016;2016;16 157;Komedia;USA;1 godz. 48 min.;Steven Brill
Special Correspondents;4;5.9;22 kwiecieÒ 2016;2016;6 416;Komedia;Kanada;1 godz. 40 min.;Ricky Gervais
Hush;5;6.0;12 marzec 2016;2016;26 633;Thriller;USA;1 godz. 21 min.;Mike Flanagan
Wrota zaúwiatÛw;5;5.3;16 wrzesieÒ 2015;2015;10 995;Horror;Kanada;1 godz. 34 min.;Uli Edel
Gnomeo i Julia;7;6.2;23 styczeÒ 2011;2011;37 602;Animacja;USA;1 godz. 24 min.;Kelly Asbury
Siostry;6;5.6;12 grudzieÒ 2015;2015;20 392;Komedia;USA;1 godz. 58 min.;Jason Moore
Droga;6;7.2;3 wrzesieÒ 2009;2009;73 194;Thriller;USA;1 godz. 51 min.;John Hillcoat
Creed: Narodziny legendy;5;7.3;19 listopad 2015;2015;96 412;Dramat;USA;2 godz. 13 min.;Ryan Coogler
Zemsta futrzakÛw;7;5.5;24 wrzesieÒ 2009;2010;10 789;Familijny;USA;1 godz. 32 min.;Roger Kumble
Prawdziwa jazda 2;8;6.5;6 styczeÒ 2016;2016;14 248;Komedia;USA;1 godz. 42 min.;Tim Story
Last Vegas;8;6.9;31 paüdziernik 2013;2013;102 601;Komedia;USA;1 godz. 45 min.;Jon Turteltaub
Transcendencja;5;6.5;10 kwiecieÒ 2014;2014;113 496;Dramat;Chiny;2 godz.;Wally Pfister
Kick-Ass;6;6.6;12 marzec 2010;2010;111 433;Komedia;USA;1 godz. 57 min.;Matthew Vaughn
Piπta fala;7;5.6;14 styczeÒ 2016;2016;52 450;Przygodowy;USA;1 godz. 52 min.;J Blakeson
GÛra czarownic;5;5.9;9 kwiecieÒ 2008;2009;23 428;Przygodowy;USA;1 godz. 38 min.;Andy Fickman
Sztanga i cash;6;6.3;11 kwiecieÒ 2013;2013;69 296;Akcja;USA;2 godz. 9 min.;Michael Bay
Pokerowa noc;6;6.4;20 listopad 2014;2014;5 591;Thriller;Kanada;1 godz. 44 min.;Greg Francis
Prawdziwa zbrodnia;7;7.1;19 marzec 1999;1999;14 677;Dramat;USA;2 godz. 7 min.;Clint Eastwood
Przesy≥ka priorytetowa;6;5.9;8 maj 2009;2009;3 082;Komedia;USA;1 godz. 24 min.;Benny Boom
Colonia;6;7.5;13 wrzesieÒ 2015;2015;59 738;Dramat;Francja;1 godz. 50 min.;Florian Gallenberger
Noc w muzeum 2;6;6.4;14 maj 2009;2009;73 559;Familijny;Kanada;1 godz. 47 min.;Shawn Levy
Wilk z Wall Street;4;7.7;17 grudzieÒ 2013;2013;436 175;Biograficzny;USA;2 godz. 59 min.;Martin Scorsese
Wpadka;8;6.1;12 marzec 2007;2007;94 469;Komedia rom.;USA;2 godz. 9 min.;Judd Apatow
Opowieúci na dobranoc;6;6.7;24 grudzieÒ 2008;2008;45 961;Familijny;USA;1 godz. 40 min.;Adam Shankman
Funny People;7;6.2;20 lipiec 2009;2009;18 611;Dramat;USA;2 godz. 26 min.;Judd Apatow
Deadpool;5;7.6;21 styczeÒ 2016;2016;328 957;Komedia;USA;1 godz. 48 min.;Tim Miller
Pitch Perfect 2;8;6.6;20 kwiecieÒ 2015;2015;46 006;Komedia;USA;1 godz. 55 min.;Elizabeth Banks
Max;4;7.0;29 styczeÒ 2015;2015;8 708;Familijny;USA;1 godz. 51 min.;Boaz Yakin
Sztuka spadania;7;7.7;26 listopad 2004;2004;87 032;Animacja;Polska;6 min.;Tomasz BagiÒski
Twardowsky;9;7.7;15 grudzieÒ 2015;2015;54 807;Sci-Fi;Polska;9 min.;Tomasz BagiÒski
Smok;6;6.8;30 listopad 2015;2015;27 388;Sci-Fi;Polska;14 min.;Tomasz BagiÒski
Cicha noc;5;5.9;20 listopad 2015;2015;13 569;Komedia;USA;1 godz. 41 min.;Jonathan Levine
Joy;5;6.4;13 grudzieÒ 2015;2015;74 093;Biograficzny;USA;2 godz. 4 min.;David O. Russell
Listy do M. 2;7;6.3;9 listopad 2015;2015;110 638;Komedia rom.;Polska;1 godz. 43 min.;Maciej Dejczer
Cast Away - poza úwiatem;8;7.5;7 grudzieÒ 2000;2000;568 304;Dramat;USA;2 godz. 23 min.;Robert Zemeckis
Terminal;8;7.4;9 czerwiec 2004;2004;241 902;Komedia rom.;USA;2 godz. 8 min.;Steven Spielberg
Kraina jutra;3;6.2;9 maj 2015;2015;59 173;Familijny;Hiszpania;2 godz. 10 min.;Brad Bird
